Image index,NumFibers,MMA,Vf,A11,A12,A13,A22,A23,A33,Elongation,Yield strength
660,25.0,2.738384231,0.400412891,0.9979,-7.4e-06,-6.9e-07,0.001339,0.0001475,0.0007654,0.000486565,44.78873283
127,23.0,0.0,0.643991863,1.0,0.0,6.12e-17,0.0,0.0,3.75e-33,0.01028046,1535.012611
596,20.0,1.665969757,0.460235471,0.999,-4.38e-06,1.86e-06,0.0005402,9.04e-05,0.0005092,0.001520487,161.8531899
289,25.0,1.404253457,0.450141489,0.9994,5.1e-07,2.06e-06,0.0002318,4.33e-05,0.000389,0.001490364,156.3161621
680,25.0,2.24033566791777,0.450403309838041,0.9982,2.927e-06,-9.164e-07,0.0008119,5.73e-05,0.0009933,0.000817216429872,84.92649027466634
758,15.0,4.57795691,0.391259907,0.9935,-4.14e-05,-0.0001325,0.002229,0.0008755,0.004251,0.00066149,58.02495824
684,19.0,3.07228268871831,0.361724649305625,0.996,5.831e-06,5.125e-05,0.001832,0.0004624,0.002163,0.0005036941936051,41.48546937661913
829,19.0,3.235670152,0.380730302,0.9961,1.04e-05,1.31e-05,0.001737,0.0003342,0.002123,0.00076422,66.6610962
192,25.0,0.553091282,0.550024633,0.9999,2.23e-07,1.12e-07,8.06e-05,-6.43e-06,3.19e-05,0.005776015,739.0540011
757,16.0,3.971637174,0.417130654,0.9946,-1.22e-05,-3.05e-05,0.001636,0.000562,0.003783,0.000347393,32.10382208
791,24.0,3.121979455,0.40869073,0.9966,2.7e-05,-4.75e-06,0.002268,6.61e-05,0.001126,0.000546255,50.95283267
339,22.0,1.235733536,0.506140709,0.9994,4.85e-07,-7.54e-07,0.000244,-1.94e-05,0.0003373,0.001355506,159.193807
655,25.0,2.96337663074559,0.400594808965788,0.997,2.078e-06,-1.394e-05,0.0009872,-0.0001242,0.002044,0.0008659155042945,79.36557181566513
583,24.0,2.1012427236186,0.528397168402726,0.9985,-1.022e-05,-1.671e-06,0.0006914,5.411e-05,0.0008292,0.0006937189294848,84.26169008170045
441,24.0,1.325977755,0.504158689,0.9994,-1.39e-06,-4.39e-07,0.0004212,2.94e-06,0.0002228,0.004492723,526.2353555
396,25.0,1.453294679,0.400123961,0.9993,4.59e-07,-1.49e-06,0.0004005,-1.06e-05,0.0002762,0.002326169,218.0749142
57,25.0,0.0,0.524995087,1.0,0.0,6.12e-17,0.0,0.0,3.75e-33,0.009624557,1178.206402
844,18.0,3.491360806,0.396942159,0.9952,7.45e-05,-7.57e-06,0.003433,0.0006398,0.00138,0.001037468,93.13230346
366,24.0,0.933956147,0.624059311,0.9998,1.24e-07,3.02e-07,0.0001041,3.19e-05,9.98e-05,0.006705498,969.6979423
647,19.0,2.541580327,0.532644704,0.9976,-5.69e-06,2.45e-05,0.0008652,-0.0003204,0.001559,0.000432979,52.50707228
358,20.0,1.053623179,0.500097987,0.9996,3.54e-07,-4.65e-08,0.0001301,3.02e-05,0.0002788,0.001950008,226.6210302
648,15.0,2.646608809,0.42056332,0.9973,-2.56e-05,-3.8e-05,0.001886,0.0003799,0.0007758,0.001109908,107.9748725
403,25.0,1.875651818,0.425252482,0.9988,-1.44e-07,2.23e-06,0.0005811,-7.4e-05,0.0006336,0.001411436,139.8491677
461,22.0,1.675840149,0.506238828,0.999,1.25e-06,-9.44e-06,0.000399,-8.8e-06,0.000602,0.002996666,351.9056182
883,15.0,4.355509157,0.391279651,0.9935,1.5e-05,-3.25e-06,0.004295,-0.0003123,0.00222,0.000536769,47.08192498
205,25.0,0.534005009101674,0.575026744896872,0.9999,-2.13e-07,5.004e-08,5.291e-05,1.753e-05,5.949e-05,0.0052362590666417,699.7782891448473
31,25.0,0.0,0.474995037,1.0,0.0,6.12e-17,0.0,0.0,3.75e-33,0.009627926,1069.809799
692,23.0,2.61238115047245,0.460510009246536,0.9978,2.519e-06,1.995e-05,0.0007262,-0.0001176,0.00148,0.0005852717277414,61.31583316361114
73,25.0,0.0,0.574996156,1.0,0.0,6.12e-17,0.0,0.0,3.75e-33,0.013822218,1848.567127
102,23.0,0.0,0.597991731,1.0,0.0,6.12e-17,0.0,0.0,3.75e-33,0.01159842,1611.642799
790,25.0,3.12642630920898,0.400583417288558,0.9971,1.465e-06,2.807e-06,0.001522,0.0003879,0.001394,0.0007092447774414,65.63822294846862
94,25.0,0.0,0.624992287,1.0,0.0,6.12e-17,0.0,0.0,3.75e-33,0.007135288,1034.777067
39,25.0,0.0,0.47499977,1.0,0.0,6.12e-17,0.0,0.0,3.75e-33,0.007377744,819.7230057
46,25.0,0.0,0.499994197,1.0,0.0,6.12e-17,0.0,0.0,3.75e-33,0.004194162,489.7024636
744,19.0,2.598677551,0.475506311,0.9979,-1.35e-06,1.59e-05,0.0007229,0.0002597,0.001414,0.001249414,136.611153
643,17.0,2.57491784638472,0.47654118931135,0.9977,7.753e-06,1.099e-06,0.0007556,6.801e-05,0.001548,0.0008893909920371,97.37915977688556
34,25.0,0.0,0.474988468,1.0,0.0,6.12e-17,0.0,0.0,3.75e-33,0.011682334,1297.752793
724,19.0,3.142780306,0.437716759,0.9967,2.42e-05,3.41e-06,0.002082,-0.0001765,0.001202,0.000503854,49.9185516
58,25.0,0.0,0.524998726312955,1.0,0.0,6.123e-17,0.0,0.0,3.749e-33,0.0109414696230394,1339.6181264126035
674,25.0,2.76936827,0.450594253,0.9973,-2.32e-05,7.37e-06,0.001708,-0.0001567,0.000967,0.000462027,47.11320964
644,18.0,3.162845524,0.504909659,0.9964,4.17e-06,1.13e-05,0.001466,0.0002934,0.002142,0.000650866,75.0283901
203,24.0,0.610666039,0.552027486,0.9999,-3.06e-08,5.74e-08,5.97e-05,-1.27e-05,6.48e-05,0.0062505,802.5606891
856,19.0,2.976738763,0.437641077,0.9971,1.28e-05,-9.9e-06,0.001644,-6.51e-06,0.001302,0.000786038,78.98668638
409,25.0,1.721333166,0.425229474,0.9989,-1.82e-06,7.32e-07,0.0005156,-0.0001185,0.000579,0.000948651,93.81435738
426,25.0,1.165831469,0.475128727,0.9994,-7.36e-07,-2.47e-06,0.0004024,-6.72e-05,0.000168,0.001331362,146.9693668
591,20.0,2.138364001,0.460382196,0.9983,-2.19e-05,1.83e-06,0.0009672,0.0001114,0.0007226,0.003622161,386.8245717
113,21.0,0.0,0.566995022,1.0,0.0,6.12e-17,0.0,0.0,3.75e-33,0.011735415,1548.365107
631,16.0,2.881039938,0.432672476,0.9969,-4.33e-05,1.18e-05,0.002571,-0.0006815,0.0005476,0.001213317,121.0624352
168,25.0,0.593164773,0.475024466,0.9999,-8.5e-08,1.33e-08,8.1e-05,4.91e-06,3.58e-05,0.004360864,484.1956198
846,18.0,3.967146756,0.39708792,0.9944,-7.37e-05,6.85e-06,0.002852,7.05e-06,0.002714,0.000456565,40.72980715
468,21.0,1.463836927,0.483099245,0.9995,1.53e-06,1.3e-06,0.0002975,9.44e-05,0.0001896,0.005465925,614.8760377
878,17.0,3.991917457,0.426139021,0.9946,2.71e-05,-3.69e-06,0.002861,-0.0002683,0.002519,0.000647824,62.46079201
695,23.0,3.024988671,0.460690993,0.9969,6.52e-08,-3.23e-06,0.001051,0.0005458,0.002029,0.000798262,83.77680838
577,22.0,2.23982945,0.462391368,0.9983,1.76e-06,-2.67e-06,0.000874,-0.0001925,0.0008459,0.000683774,72.58039593
587,21.0,2.54568828828192,0.462590924918327,0.9974,-3.181e-05,2.44e-05,0.001687,-0.000338,0.0008771,0.0008576358019085,91.13665709739722
