ID,f,c,v,r,t,w,dir,fracture,elongation,elastic modulus,tangent modulus,yield,surrogate_score,surrogate_elongation
97,0.4,16,22,400,20,30,0,10.30496095,69.82922872,0.31916907,0.13104626,3.755286206,-0.1294326241134755,0.1294326241134755
102,0.4,18,16,400,22,53,1,9.240895182,100.4447842,0.201463808,0.083400921,2.911850862,0.5336879432624105,-0.5336879432624105
14,0.2,16,20,1200,23,28,1,14.24274885,56.36154493,0.603461452,0.221250483,7.22939254,1.0549645390070914,-1.0549645390070914
7,0.2,16,18,400,20,60,0,16.95035203,51.35189056,0.594564507,0.30953883,7.603603111,0.5088652482269481,-0.5088652482269481
20,0.2,16,22,1600,20,60,0,5.974112836,68.91788801,0.168895724,0.080399045,2.365920105,-0.2411347517730518,0.2411347517730518
2,0.2,16,16,400,20,48,0,10.84147493,42.41121928,0.496056063,0.231847925,5.688269252,0.3386524822695018,-0.3386524822695018
126,0.4,20,18,0,20,57,1,8.282915395,116.8892225,0.164537346,0.064590195,2.066173655,0.3120567375886516,-0.3120567375886516
153,0.4,22,20,800,18,80,0,6.953587306,71.06944402,0.338326202,0.070203089,3.631702239,-0.0248226950354623,0.0248226950354623
51,0.2,20,20,0,20,63,1,6.168240919,88.19666545,0.308966086,0.046422667,3.316684849,0.8014184397163098,-0.8014184397163098
53,0.2,20,20,800,21,71,0,8.717643314,123.0704371,0.376033842,0.04656525,4.124497503,0.4148936170212739,-0.4148936170212739
157,0.4,22,22,400,22,72,1,10.64077693,118.9846643,0.263270354,0.077259875,3.019011599,0.6684397163120555,-0.6684397163120555
111,0.4,18,20,0,23,59,1,7.66718908,129.6939993,0.103661728,0.05646928,3.938418031,0.3262411347517721,-0.3262411347517721
62,0.2,22,16,400,23,67,1,14.18099311,52.25456238,0.595797467,0.237834916,7.28310615,1.108156028368792,-1.108156028368792
69,0.2,22,18,1200,22,60,1,6.746623227,27.57623037,0.549061744,0.183414933,5.709583341,1.508865248226948,-1.508865248226948
131,0.4,20,20,0,20,45,0,11.96530232,115.2943325,0.259046354,0.092068921,3.33707833,0.2269503546099284,-0.2269503546099284
43,0.2,20,16,800,22,53,0,8.84265343,81.75632477,0.326696765,0.088992836,3.515571749,0.1595744680851044,-0.1595744680851044
139,0.4,20,22,1200,20,50,0,7.618053869,121.1056646,0.156969319,0.056676024,1.925397912,-0.4875886524822703,0.4875886524822703
96,0.4,16,22,0,20,30,1,7.688213721,97.47289022,0.186680281,0.070657168,2.193366349,0.1205673758865244,-0.1205673758865244
76,0.2,22,22,0,26,52,1,5.783825692,57.09266663,0.349504908,0.064336658,3.679243988,0.645390070921984,-0.645390070921984
32,0.2,18,20,400,20,30,0,8.311866,92.03,0.259333,0.074554283,3.002660479,0.0833333333333323,-0.0833333333333323
9,0.2,16,18,1200,20,70,0,6.436319765,70.53155581,0.13121386,0.088463313,2.391036958,0.1507092198581534,-0.1507092198581534
27,0.2,18,18,400,21,47,1,5.836299501,76.14333471,0.187409221,0.065701552,2.122222363,0.8244680851063814,-0.8244680851063814
202,0.6,20,16,400,20,68,0,9.356829673,94.38977559,0.353733697,0.076441043,3.84776377,-0.0206855791962181,0.0206855791962181
205,0.6,20,16,1600,22,70,1,5.85354607,22.69365946,0.313423619,0.275970387,5.278167565,1.2387706855791956,-1.2387706855791956
228,0.6,22,18,800,24,72,1,16.31001744,66.49188995,0.464753759,0.229348853,9.071088171,0.7482269503546092,-0.7482269503546092
232,0.6,22,20,400,24,61,1,10.39299281,157.4618848,0.228735355,0.055253739,2.819290277,0.4462174940898339,-0.4462174940898339
226,0.6,22,18,0,25,70,0,5.284491429,77.37033844,0.284460508,0.04538218,3.014824768,0.2387706855791955,-0.2387706855791955
165,0.6,16,16,1600,22,32,0,2.96072533,114.4146633,0.063578079,0.023563434,0.721635501,-0.9408983451536644,0.9408983451536644
223,0.6,22,16,800,25,68,1,9.937089411,85.17545064,0.440934916,0.085813421,5.037725881,0.7293144208037818,-0.7293144208037818
161,0.6,16,16,0,20,40,0,6.468612504,52.46266524,0.240339254,0.112400214,2.912516402,0.0969267139479902,-0.0969267139479902
187,0.6,18,18,400,24,50,1,9.818650485,113.2497787,0.17745042,0.07994187,1.949631169,0.3942080378250587,-0.3942080378250587
198,0.6,18,22,800,20,33,1,7.951821742,106.2911097,0.191035521,0.066471351,2.458830827,0.5638297872340423,-0.5638297872340423
